Date,Open,High,Low,Close,Adj Close,Volume,weekly_macd,weekly_signal,monthly_macd,monthly_signal,weekly_diff,monthly_diff,codes,switch_code,atr
2021-01-04,222.52999877929688,223.0,214.80999755859375,217.69000244140625,211.6053009033203,37130100,0.0,0.0,0.0,0.0,0.0,0.0,0,2,
2021-01-05,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,211.80941772460938,23823000,0.003678989326857618,0.00015995605768946163,0.0009365584444651631,1.0348712093537714e-05,0.0035190332691681565,0.0009262097323716254,3,4,
2021-01-06,212.1699981689453,216.49000549316406,211.94000244140625,212.25,206.31736755371094,35930700,-0.09180506444590719,-0.0038385230946408277,-0.023337130696717168,-0.0002476344857938734,-0.08796654135126636,-0.023089496210923294,0,2,
2021-01-07,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,212.18850708007812,27694500,-0.07688363445569735,-0.007014397501643285,-0.020377956160047006,-0.00047006897943202954,-0.06986923695405406,-0.019907887180614977,0,0,
2021-01-08,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,213.48133850097656,22956200,-0.03933203959385878,-0.008419512375217871,-0.011522168886017425,-0.0005921916303335257,-0.03091252721864091,-0.0109299772556839,0,0,
2021-01-11,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,211.41090393066406,23031300,-0.04086326606261537,-0.00983011036162646,-0.012272938563853586,-0.00072126065722325,-0.031033155700988906,-0.011551677906630337,0,0,
2021-01-12,216.5,217.10000610351562,213.32000732421875,214.92999267578125,208.92245483398438,23249300,-0.08715190403316342,-0.013191927477780242,-0.02443184385759878,-0.0009832560517025377,-0.07395997655538318,-0.023448587805896242,0,0,
2021-01-13,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,210.2930145263672,20087100,-0.10649287553641784,-0.017248490436851442,-0.03015418593346908,-0.001305586768628135,-0.08924438509956639,-0.028848599164840946,0,0,
2021-01-14,215.91000366210938,217.4600067138672,212.74000549316406,213.02000427246094,207.06585693359375,29480800,-0.1830261068928678,-0.024456212891460848,-0.05061340474605913,-0.0018504245363345547,-0.15856989400140695,-0.048762980209724575,0,0,
2021-01-15,213.52000427246094,214.50999450683594,212.02999877929688,212.64999389648438,206.7061767578125,31746500,-0.262310773650853,-0.03479771553317355,-0.0724735788260773,-0.0026307908820775686,-0.22751305811767944,-0.06984278794399973,0,0,
2021-01-19,213.75,216.97999572753906,212.6300048828125,216.44000244140625,210.39024353027344,30480900,-0.27129402472223774,-0.045080163758785034,-0.07716343613515164,-0.0034543560229955144,-0.2262138609634527,-0.07370908011215613,0,0,
2021-01-20,217.6999969482422,225.7899932861328,217.2899932861328,224.33999633789062,218.06942749023438,37777300,-0.1413086915095505,-0.04926401279142701,-0.04656021821480749,-0.003930663892518299,-0.0920446787181235,-0.042629554322289195,0,0,
2021-01-21,224.6999969482422,226.3000030517578,222.4199981689453,224.97000122070312,218.68182373046875,30709400,-0.006396378977768791,-0.047400202625615784,-0.01351617803268823,-0.004036581175835094,0.04100382364784699,-0.009479596856853137,2,3,
2021-01-22,227.0800018310547,230.07000732421875,225.8000030517578,225.9499969482422,219.63441467285156,30172700,0.13927282363150084,-0.03928398409269768,0.023499037363507114,-0.003732320197499821,0.17855680772419852,0.027231357561006933,3,4,
2021-01-25,229.1199951171875,229.77999877929688,224.22000122070312,229.52999877929688,223.11434936523438,33152100,0.3406658240209879,-0.02276442721818961,0.07603215960850207,-0.002850944730030187,0.3634302512391775,0.07888310433853225,3,0,4.748937339157759
2021-01-26,231.86000061035156,234.17999267578125,230.0800018310547,232.3300018310547,225.83612060546875,49169600,0.5813665986317176,0.0035021391231107,0.14041487873896585,-0.0012678969568921095,0.5778644595086069,0.14168277569585797,3,0,4.738404315485737
2021-01-27,238.0,240.44000244140625,230.13999938964844,232.89999389648438,226.3901824951172,69870600,0.8203162943303539,0.03901579804516475,0.20655588399367275,0.0010284984127273916,0.7813004962851892,0.20552738558094535,3,0,5.310428324743637
2021-01-28,235.61000061035156,242.63999938964844,235.08999633789062,238.92999267578125,232.2515869140625,49111200,1.153136304077151,0.08745582004655544,0.2987833234507207,0.004318606976683119,1.0656804840305956,0.29446471647403755,3,0,5.752140835212764
2021-01-29,235.99000549316406,238.02000427246094,231.35000610351562,231.9600067138672,225.47640991210938,42503100,1.3474402102589238,0.14223775005578884,0.3587987465974436,0.008235514596802019,1.205202460203135,0.3505632320006416,3,0,5.929396948337038
2021-02-01,235.05999755859375,242.5,232.42999267578125,239.64999389648438,232.9514923095703,33314200,1.6665561500255421,0.20851246309795204,0.45237342926023416,0.01314311586380127,1.4580436869275901,0.43923031339643287,3,0,6.365373645578623
2021-02-02,241.3000030517578,242.30999755859375,238.69000244140625,239.50999450683594,232.81539916992188,25916300,1.9672100454594954,0.2849775753745409,0.5441765214644647,0.019010888301377663,1.6822324700849545,0.5251656331630871,3,0,6.1116405591663
2021-02-03,239.57000732421875,245.08999633789062,239.25999450683594,243.0,236.20785522460938,27158100,2.3137259667470857,0.3731840271733472,0.6504163071478217,0.025987743758244447,1.9405419395737384,0.6244285633895773,3,0,6.08614618580758
2021-02-04,242.66000366210938,243.24000549316406,240.3699951171875,242.00999450683594,235.2455291748047,25296100,2.6252610692386043,0.47110042030661925,0.7509338604848494,0.03399819808671522,2.154160648931985,0.7169356623981342,3,0,5.800470986592162
2021-02-05,242.22999572753906,243.27999877929688,240.4199981689453,242.1999969482422,235.43023681640625,18054800,2.9239962666585484,0.5777480658001815,0.851058066768843,0.043026483928506686,2.346248200858367,0.8080315828403363,3,0,5.543748150460377
